user_id,feature_name,first_used_date,days_after_signup
228,Smart Search,2025-02-15,17
229,Smart Search,2025-01-02,1
230,Smart Search,2025-01-10,0
232,Smart Search,2025-01-15,7
236,Smart Search,2025-02-15,3
238,Smart Search,2025-03-19,12
239,Smart Search,2025-02-05,5
240,Smart Search,2025-02-11,6
242,Smart Search,2025-03-06,2
243,Smart Search,2025-02-25,28
246,Smart Search,2025-03-22,7
247,Smart Search,2025-03-19,4
249,Smart Search,2025-02-06,5
250,Smart Search,2025-03-09,7
251,Smart Search,2025-03-13,19
256,Smart Search,2025-03-02,5
257,Smart Search,2025-02-20,5
258,Smart Search,2025-02-28,4
259,Smart Search,2025-02-23,1
260,Smart Search,2025-03-23,22
262,Smart Search,2025-03-31,3
264,Smart Search,2025-03-24,0
265,Smart Search,2025-01-18,5
266,Smart Search,2025-01-10,2
267,Smart Search,2025-03-07,14
269,Smart Search,2025-01-17,3
270,Smart Search,2025-02-04,3
271,Smart Search,2025-01-27,2
272,Smart Search,2025-02-21,27
273,Smart Search,2025-03-12,2
276,Smart Search,2025-03-21,25
278,Smart Search,2025-02-07,2
279,Smart Search,2025-03-01,0
280,Smart Search,2025-02-06,5
281,Smart Search,2025-01-25,15
282,Smart Search,2025-02-26,0
283,Smart Search,2025-03-12,0
284,Smart Search,2025-01-19,6
285,Smart Search,2025-01-08,1
286,Smart Search,2025-03-30,5
288,Smart Search,2025-01-03,1
289,Smart Search,2025-01-15,3
290,Smart Search,2025-02-09,9
291,Smart Search,2025-02-20,29
292,Smart Search,2025-03-01,7
293,Smart Search,2025-03-04,0
294,Smart Search,2025-03-10,7
295,Smart Search,2025-02-18,21
296,Smart Search,2025-02-28,7
297,Smart Search,2025-01-30,22
298,Smart Search,2025-01-23,1
299,Smart Search,2025-02-20,2
300,Smart Search,2025-01-05,4
302,Smart Search,2025-02-08,5
303,Smart Search,2025-03-04,4
304,Smart Search,2025-02-12,6
306,Smart Search,2025-04-01,1
307,Smart Search,2025-04-10,28
308,Smart Search,2025-04-20,25
309,Smart Search,2025-03-18,14
310,Smart Search,2025-01-23,3
311,Smart Search,2025-02-01,7
313,Smart Search,2025-01-29,1
316,Smart Search,2025-03-16,5
317,Smart Search,2025-01-13,5
318,Smart Search,2025-03-11,29
319,Smart Search,2025-01-18,10
320,Smart Search,2025-01-08,1
323,Smart Search,2025-03-07,1
324,Smart Search,2025-03-28,19
328,Smart Search,2025-02-05,25
329,Smart Search,2025-01-29,5
330,Smart Search,2025-01-15,6
331,Smart Search,2025-03-24,6
332,Smart Search,2025-01-18,9
333,Smart Search,2025-04-24,27
335,Smart Search,2025-02-22,1
336,Smart Search,2025-01-19,3
337,Smart Search,2025-03-21,7
338,Smart Search,2025-02-02,1
339,Smart Search,2025-03-21,5
340,Smart Search,2025-03-22,4
342,Smart Search,2025-03-27,6
343,Smart Search,2025-02-07,27
344,Smart Search,2025-02-23,0
348,Smart Search,2025-03-12,4
349,Smart Search,2025-02-14,4
350,Smart Search,2025-02-20,17
351,Smart Search,2025-02-15,19
353,Smart Search,2025-02-12,2
356,Smart Search,2025-02-26,6
358,Smart Search,2025-03-27,0
359,Smart Search,2025-03-27,3
360,Smart Search,2025-02-15,7
361,Smart Search,2025-03-05,5
362,Smart Search,2025-02-15,5
363,Smart Search,2025-02-05,26
364,Smart Search,2025-01-02,0
365,Smart Search,2025-02-28,0
366,Smart Search,2025-03-25,4
367,Smart Search,2025-03-20,6
368,Smart Search,2025-01-20,7
369,Smart Search,2025-01-13,3
374,Smart Search,2025-01-28,11
376,Smart Search,2025-01-10,1
377,Smart Search,2025-02-08,7
379,Smart Search,2025-02-10,4
384,Smart Search,2025-03-26,6
385,Smart Search,2025-04-03,9
386,Smart Search,2025-03-13,4
387,Smart Search,2025-01-14,12
388,Smart Search,2025-04-13,17
391,Smart Search,2025-03-26,0
392,Smart Search,2025-01-20,6
393,Smart Search,2025-01-24,6
394,Smart Search,2025-02-06,3
396,Smart Search,2025-01-19,5
397,Smart Search,2025-03-12,0
398,Smart Search,2025-01-27,7
399,Smart Search,2025-02-22,18
400,Smart Search,2025-02-12,6
401,Smart Search,2025-04-09,21
402,Smart Search,2025-02-02,6
403,Smart Search,2025-02-18,5
404,Smart Search,2025-02-03,7
406,Smart Search,2025-04-11,19
407,Smart Search,2025-02-04,1
408,Smart Search,2025-03-12,6
410,Smart Search,2025-02-08,6
412,Smart Search,2025-01-30,18
413,Smart Search,2025-03-25,2
414,Smart Search,2025-02-25,1
415,Smart Search,2025-02-08,3
417,Smart Search,2025-01-20,19
418,Smart Search,2025-02-14,2
419,Smart Search,2025-01-19,2
420,Smart Search,2025-03-25,2
421,Smart Search,2025-02-04,1
422,Smart Search,2025-01-28,7
424,Smart Search,2025-03-19,7
425,Smart Search,2025-03-01,5
427,Smart Search,2025-01-30,28
429,Smart Search,2025-01-17,7
431,Smart Search,2025-01-27,7
434,Smart Search,2025-02-21,4
436,Smart Search,2025-03-17,5
437,Smart Search,2025-01-23,4
438,Smart Search,2025-02-25,0
439,Smart Search,2025-01-21,4
440,Smart Search,2025-01-07,1
441,Smart Search,2025-02-15,6
442,Smart Search,2025-02-16,0
445,Smart Search,2025-01-30,3
446,Smart Search,2025-04-05,7
447,Smart Search,2025-02-01,0
448,Smart Search,2025-04-01,5
449,Smart Search,2025-01-24,10
450,Smart Search,2025-02-17,2
451,Smart Search,2025-03-20,7
453,Smart Search,2025-04-14,24
454,Smart Search,2025-01-22,2
455,Smart Search,2025-02-04,4
456,Smart Search,2025-01-26,5
457,Smart Search,2025-01-23,0
458,Smart Search,2025-03-22,28
459,Smart Search,2025-01-09,5
460,Smart Search,2025-01-29,6
463,Smart Search,2025-03-29,2
464,Smart Search,2025-02-03,2
465,Smart Search,2025-02-21,17
466,Smart Search,2025-02-20,30
467,Smart Search,2025-04-02,2
468,Smart Search,2025-01-15,1
469,Smart Search,2025-02-24,6
470,Smart Search,2025-01-10,5
471,Smart Search,2025-03-31,29
475,Smart Search,2025-03-15,29
477,Smart Search,2025-02-09,10
479,Smart Search,2025-01-10,6
481,Smart Search,2025-01-25,0
484,Smart Search,2025-02-07,2
485,Smart Search,2025-01-27,18
487,Smart Search,2025-03-09,23
489,Smart Search,2025-03-09,2
490,Smart Search,2025-02-25,4
491,Smart Search,2025-04-08,11
492,Smart Search,2025-03-10,0
494,Smart Search,2025-01-06,2
495,Smart Search,2025-01-17,2
496,Smart Search,2025-02-05,2
497,Smart Search,2025-02-01,9
500,Smart Search,2025-01-08,3
503,Smart Search,2025-03-24,27
505,Smart Search,2025-02-17,7
506,Smart Search,2025-02-28,3
508,Smart Search,2025-03-14,7
511,Smart Search,2025-03-29,14
513,Smart Search,2025-02-09,7
514,Smart Search,2025-01-10,4
515,Smart Search,2025-03-21,24
517,Smart Search,2025-03-10,2
518,Smart Search,2025-04-06,27
522,Smart Search,2025-02-20,4
523,Smart Search,2025-03-04,7
524,Smart Search,2025-02-03,25
526,Smart Search,2025-03-14,30
527,Smart Search,2025-04-01,11
529,Smart Search,2025-03-28,2
533,Smart Search,2025-02-11,2
534,Smart Search,2025-04-06,10
538,Smart Search,2025-04-15,15
544,Smart Search,2025-04-15,19
545,Smart Search,2025-03-11,21
546,Smart Search,2025-04-02,5
547,Smart Search,2025-01-24,1
548,Smart Search,2025-03-20,0
549,Smart Search,2025-03-15,1
550,Smart Search,2025-03-08,28
551,Smart Search,2025-02-23,2
552,Smart Search,2025-03-16,4
555,Smart Search,2025-03-01,23
557,Smart Search,2025-02-27,2
558,Smart Search,2025-04-08,23
559,Smart Search,2025-03-19,0
560,Smart Search,2025-04-02,8
563,Smart Search,2025-02-28,2
564,Smart Search,2025-03-04,6
565,Smart Search,2025-04-01,4
566,Smart Search,2025-01-29,1
567,Smart Search,2025-03-13,6
568,Smart Search,2025-03-09,7
571,Smart Search,2025-01-18,7
573,Smart Search,2025-03-07,0
574,Smart Search,2025-03-29,3
575,Smart Search,2025-04-09,17
576,Smart Search,2025-03-26,5
578,Smart Search,2025-01-18,6
579,Smart Search,2025-02-01,1
580,Smart Search,2025-04-02,5
581,Smart Search,2025-02-09,0
583,Smart Search,2025-02-02,7
584,Smart Search,2025-01-25,6
585,Smart Search,2025-01-20,16
586,Smart Search,2025-01-25,19
587,Smart Search,2025-02-20,19
589,Smart Search,2025-03-21,1
593,Smart Search,2025-04-09,18
594,Smart Search,2025-03-20,5
595,Smart Search,2025-01-27,2
597,Smart Search,2025-03-20,29
598,Smart Search,2025-03-12,7
599,Smart Search,2025-02-23,2
600,Smart Search,2025-02-08,7
601,Smart Search,2025-01-22,3
602,Smart Search,2025-03-28,3
604,Smart Search,2025-01-19,18
605,Smart Search,2025-02-07,24
606,Smart Search,2025-03-03,7
607,Smart Search,2025-02-01,3
608,Smart Search,2025-01-23,0
610,Smart Search,2025-03-26,18
612,Smart Search,2025-01-12,5
613,Smart Search,2025-03-19,6
615,Smart Search,2025-02-05,20
616,Smart Search,2025-03-02,2
617,Smart Search,2025-01-25,7
618,Smart Search,2025-03-05,4
620,Smart Search,2025-03-30,21
623,Smart Search,2025-02-12,2
625,Smart Search,2025-03-25,5
627,Smart Search,2025-03-01,5
629,Smart Search,2025-03-03,4
630,Smart Search,2025-01-27,6
631,Smart Search,2025-03-09,7
633,Smart Search,2025-02-03,0
634,Smart Search,2025-02-20,19
641,Smart Search,2025-02-11,6
642,Smart Search,2025-02-26,0
644,Smart Search,2025-02-12,6
645,Smart Search,2025-02-02,2
646,Smart Search,2025-02-16,12
648,Smart Search,2025-03-11,29
649,Smart Search,2025-03-20,9
650,Smart Search,2025-01-14,3
651,Smart Search,2025-02-06,19
652,Smart Search,2025-01-20,0
653,Smart Search,2025-02-06,7
654,Smart Search,2025-03-10,19
656,Smart Search,2025-01-21,1
659,Smart Search,2025-02-28,5
661,Smart Search,2025-02-16,4
663,Smart Search,2025-03-02,1
665,Smart Search,2025-01-10,2
666,Smart Search,2025-02-02,6
667,Smart Search,2025-03-06,11
670,Smart Search,2025-04-04,4
671,Smart Search,2025-01-17,14
672,Smart Search,2025-04-01,17
674,Smart Search,2025-03-10,7
676,Smart Search,2025-02-17,2
677,Smart Search,2025-03-02,22
678,Smart Search,2025-02-26,7
679,Smart Search,2025-03-24,29
680,Smart Search,2025-03-28,18
681,Smart Search,2025-03-12,1
683,Smart Search,2025-02-02,4
684,Smart Search,2025-03-17,13
685,Smart Search,2025-02-28,30
686,Smart Search,2025-02-09,5
687,Smart Search,2025-02-26,1
688,Smart Search,2025-03-16,12
689,Smart Search,2025-01-11,7
690,Smart Search,2025-02-24,5
691,Smart Search,2025-02-15,2
692,Smart Search,2025-03-28,1
693,Smart Search,2025-04-03,6
694,Smart Search,2025-03-16,23
696,Smart Search,2025-03-07,6
698,Smart Search,2025-03-31,10
701,Smart Search,2025-02-25,5
703,Smart Search,2025-03-21,7
704,Smart Search,2025-03-31,5
707,Smart Search,2025-03-26,2
708,Smart Search,2025-03-08,12
709,Smart Search,2025-01-18,0
710,Smart Search,2025-03-25,24
712,Smart Search,2025-01-09,2
713,Smart Search,2025-02-06,3
714,Smart Search,2025-02-22,4
715,Smart Search,2025-02-27,16
716,Smart Search,2025-02-01,4
717,Smart Search,2025-03-04,4
720,Smart Search,2025-02-19,1
724,Smart Search,2025-01-13,2
725,Smart Search,2025-03-04,2
726,Smart Search,2025-01-08,5
727,Smart Search,2025-04-06,26
728,Smart Search,2025-01-07,0
729,Smart Search,2025-02-18,4
730,Smart Search,2025-02-04,6
732,Smart Search,2025-01-09,0
733,Smart Search,2025-03-29,4
738,Smart Search,2025-01-07,4
740,Smart Search,2025-01-26,6
741,Smart Search,2025-02-01,1
742,Smart Search,2025-01-19,2
743,Smart Search,2025-03-09,7
744,Smart Search,2025-04-01,5
745,Smart Search,2025-01-20,5
747,Smart Search,2025-02-15,18
748,Smart Search,2025-03-20,19
750,Smart Search,2025-02-14,12
751,Smart Search,2025-03-13,24
753,Smart Search,2025-03-24,5
754,Smart Search,2025-03-20,1
756,Smart Search,2025-01-24,3
757,Smart Search,2025-02-09,0
760,Smart Search,2025-01-10,6
761,Smart Search,2025-03-02,21
762,Smart Search,2025-03-17,2
763,Smart Search,2025-04-23,26
764,Smart Search,2025-03-04,14
765,Smart Search,2025-03-15,23
767,Smart Search,2025-02-01,22
768,Smart Search,2025-03-21,4
769,Smart Search,2025-03-31,1
771,Smart Search,2025-02-25,24
772,Smart Search,2025-01-17,3
774,Smart Search,2025-02-13,5
775,Smart Search,2025-04-02,4
776,Smart Search,2025-03-25,7
777,Smart Search,2025-01-16,0
778,Smart Search,2025-04-04,21
779,Smart Search,2025-01-10,4
780,Smart Search,2025-03-06,20
781,Smart Search,2025-03-16,6
786,Smart Search,2025-03-09,3
788,Smart Search,2025-02-17,4
793,Smart Search,2025-03-04,7
794,Smart Search,2025-03-04,16
795,Smart Search,2025-04-19,27
796,Smart Search,2025-03-01,1
797,Smart Search,2025-01-21,1
798,Smart Search,2025-03-02,5
800,Smart Search,2025-03-13,5
805,Smart Search,2025-03-17,14
808,Smart Search,2025-03-23,6
809,Smart Search,2025-02-04,0
811,Smart Search,2025-02-06,5
812,Smart Search,2025-02-05,24
814,Smart Search,2025-03-01,2
815,Smart Search,2025-02-06,5
817,Smart Search,2025-03-18,4
818,Smart Search,2025-03-27,7
819,Smart Search,2025-04-13,17
820,Smart Search,2025-02-18,0
822,Smart Search,2025-01-05,1
823,Smart Search,2025-03-31,26
824,Smart Search,2025-02-11,0
825,Smart Search,2025-01-28,4
828,Smart Search,2025-03-13,26
829,Smart Search,2025-02-03,0
830,Smart Search,2025-02-15,2
831,Smart Search,2025-02-11,6
833,Smart Search,2025-04-03,3
834,Smart Search,2025-02-06,1
835,Smart Search,2025-03-20,7
838,Smart Search,2025-01-27,2
840,Smart Search,2025-02-03,3
841,Smart Search,2025-03-01,7
845,Smart Search,2025-04-08,9
846,Smart Search,2025-03-26,24
848,Smart Search,2025-03-09,5
849,Smart Search,2025-03-22,23
850,Smart Search,2025-01-08,5
852,Smart Search,2025-03-01,22
853,Smart Search,2025-02-16,18
855,Smart Search,2025-04-03,4
856,Smart Search,2025-02-04,3
857,Smart Search,2025-02-25,16
858,Smart Search,2025-03-29,3
859,Smart Search,2025-04-02,17
860,Smart Search,2025-03-19,30
862,Smart Search,2025-03-19,7
864,Smart Search,2025-02-19,5
865,Smart Search,2025-02-28,4
866,Smart Search,2025-03-18,6
867,Smart Search,2025-03-04,20
869,Smart Search,2025-04-12,12
870,Smart Search,2025-03-04,4
874,Smart Search,2025-02-09,10
876,Smart Search,2025-02-01,7
877,Smart Search,2025-02-17,7
878,Smart Search,2025-01-20,4
879,Smart Search,2025-04-09,30
880,Smart Search,2025-03-31,1
881,Smart Search,2025-01-27,3
883,Smart Search,2025-01-31,3
884,Smart Search,2025-03-03,0
885,Smart Search,2025-02-10,5
887,Smart Search,2025-03-20,11
888,Smart Search,2025-03-20,2
891,Smart Search,2025-01-27,2
895,Smart Search,2025-01-30,7
897,Smart Search,2025-01-05,3
898,Smart Search,2025-03-27,17
899,Smart Search,2025-01-17,0
900,Smart Search,2025-02-15,10
901,Smart Search,2025-01-09,3
903,Smart Search,2025-03-12,0
904,Smart Search,2025-02-20,13
905,Smart Search,2025-04-02,2
906,Smart Search,2025-01-26,9
908,Smart Search,2025-03-24,20
909,Smart Search,2025-01-27,13
910,Smart Search,2025-01-19,17
911,Smart Search,2025-03-23,8
912,Smart Search,2025-02-07,1
915,Smart Search,2025-03-16,18
919,Smart Search,2025-02-09,7
920,Smart Search,2025-03-15,12
921,Smart Search,2025-02-06,22
924,Smart Search,2025-03-05,1
925,Smart Search,2025-01-17,7
930,Smart Search,2025-01-22,2
931,Smart Search,2025-01-25,5
933,Smart Search,2025-03-06,26
934,Smart Search,2025-01-14,3
936,Smart Search,2025-01-22,6
938,Smart Search,2025-03-19,24
940,Smart Search,2025-03-24,6
941,Smart Search,2025-03-23,2
942,Smart Search,2025-02-21,23
943,Smart Search,2025-03-11,3
946,Smart Search,2025-03-04,6
947,Smart Search,2025-02-12,4
948,Smart Search,2025-04-03,17
949,Smart Search,2025-02-24,0
954,Smart Search,2025-03-25,5
959,Smart Search,2025-02-03,0
961,Smart Search,2025-01-18,7
962,Smart Search,2025-01-27,6
963,Smart Search,2025-02-04,4
968,Smart Search,2025-01-05,4
970,Smart Search,2025-03-02,3
971,Smart Search,2025-04-01,2
972,Smart Search,2025-03-25,7
975,Smart Search,2025-02-01,27
976,Smart Search,2025-02-06,7
978,Smart Search,2025-03-07,29
981,Smart Search,2025-01-25,15
982,Smart Search,2025-03-30,1
985,Smart Search,2025-03-27,5
987,Smart Search,2025-03-27,1
988,Smart Search,2025-01-29,3
991,Smart Search,2025-03-13,2
993,Smart Search,2025-03-31,7
994,Smart Search,2025-01-23,3
995,Smart Search,2025-02-27,23
997,Smart Search,2025-01-17,7
998,Smart Search,2025-01-30,22
999,Smart Search,2025-01-28,6
