user_id,retained_30d
844,0
845,1
846,0
847,0
848,1
849,0
850,1
851,0
852,1
853,0
854,0
855,1
856,1
857,1
858,1
859,1
860,0
861,0
862,1
863,0
864,1
865,1
866,1
867,1
868,0
869,0
870,1
871,0
872,1
873,1
874,0
875,1
876,1
877,1
878,0
879,0
880,1
881,1
882,0
883,0
884,1
885,0
886,0
887,0
888,1
889,0
890,0
891,0
892,0
893,0
894,0
895,1
896,0
897,1
898,0
899,1
900,0
901,1
902,0
903,0
904,1
905,0
906,1
907,0
908,1
909,0
910,1
911,1
912,1
913,1
914,0
915,0
916,0
917,0
918,0
919,1
920,0
921,0
922,0
923,0
924,1
925,0
926,1
927,0
928,0
929,0
930,1
931,0
932,1
933,0
934,1
935,0
936,1
937,0
938,1
939,1
940,1
941,0
942,0
943,1
944,0
945,1
946,1
947,1
948,0
949,1
950,1
951,1
952,0
953,0
954,1
955,1
956,0
957,0
958,0
959,1
960,1
961,1
962,1
963,1
964,0
965,1
966,0
967,0
968,1
969,0
970,1
971,0
972,1
973,1
974,0
975,1
976,0
977,0
978,0
979,1
980,0
981,0
982,0
983,1
984,1
985,0
986,0
987,1
988,1
989,0
990,0
991,1
992,1
993,0
994,1
995,1
996,0
997,1
998,1
999,1
1000,1
